,,0
8_2_1,8_1_1,0.9999996730523736
8_1_1,4_2_1,0.9999966619117592
8_2_1,4_2_1,0.9999955580457724
8_2_1,8,0.9997978622179652
8_1_1,8,0.999786016205226
8,4_2_1,0.9997764360483636
4_2_2,4_2_1,0.9995474751634084
8_1_1,4_2_2,0.9994829648383652
8_2_1,4_2_2,0.9994773757808312
8,4_2_2,0.9993889093450176
2_2_3,2_2,0.9989778352310704
8_1_2_2,4_2_2,0.9987414927526536
4_2_1,2_3,0.9986611915164466
8_1_1,2_3,0.9985649833404256
8_2_1,2_3,0.998561654849863
4_2_2,2_3,0.9985285913078168
8,2_3,0.9981646704848628
8_1_2_2,8,0.997542119194706
8_1_2_3,8,0.9974338829050828
8_1_2_2,4_2_1,0.9972250258424804
8_1_2_2,8_1_1,0.9971172019234478
8_2_1,8_1_2_2,0.9971060159945836
6_3_2,6_3,0.996518390276886
8_1_2_3,8_1_2_2,0.99605399992949
8_1_2_3,4_2_2,0.9959952570522406
8_2_1,8_1_2_3,0.9958430693883932
8_1_2_3,8_1_1,0.9957908734794412
8_1_2_3,4_2_1,0.995781019099248
8_3_1,2_1_3,0.9955041770079432
8_1_2_2,2_3,0.9954477074946906
8_1_2,8_1,0.994150100361063
8_1_2_2,4_2,0.9937336964969244
8_1_2_3,2_3,0.9936781140908044
8_2,5_1,0.9930367330853208
2_1_4_3,2_1_3,0.9930061278912872
3_3,1,0.992290599282523
3_1_4,3_1,0.9898304313957604
5_3_1,5_3,0.989826466392096
8_1_2_3,8_1,0.9894626820180132
8_3_1,2_1_4_3,0.9892932109026208
8_2_2,8_1_2_3,0.988857700291465
4_2_2,4_2,0.9886348405813576
5_2,5,0.9877281596338666
6_3_2,6,0.986834289500488
8_2_2,8_1,0.9862476942411184
8_2_2,8_1_2,0.9847715339434204
7,3_1,0.984495704088042
8,4_2,0.9843951055759164
4_2_1,4_2,0.9840971100883116
8_1_1,4_2,0.983816543641141
8_2_1,4_2,0.9837749537239056
8_1_2_3,4_2,0.9834438012398236
8_2_2,8_1_2_2,0.9832189377977112
8_1,8,0.982906654797309
