,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
305,139817,140539.0,0.6057595970691947,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8031208844279445,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
306,139811,140539.0,0.5084915331514045,橡胶和塑料制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7503159546195283,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
308,107589,140539.0,0.6136037984859146,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6883898917580766,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
309,107640,140539.0,0.7565397382103721,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6847416262479803,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
320,91791,140539.0,0.5610355036449785,专利授权总量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.6359649598703087,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
325,149666,140539.0,0.5222718742431091,每万人金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.8297558773815285,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
329,149667,140539.0,0.519756997768181,每万人通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,1.01142230733555,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
333,149650,140539.0,0.5332905253825722,每万人纺织业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.9676401328692305,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
348,60710,140539.0,0.583610956615796,第二产业占GDP的比重,t,经济,,ValueOntology.PERCENTAGE,0.5582841046627665,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
351,72046,140539.0,0.7557136787843121,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.6842160531805269,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
354,111719,140539.0,0.5010636402043918,近2年自行车专卖店相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,0.5550247014325957,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
